domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
indusind.fin.in,False,,False,False,,,,
insurance.fin.in,False,,False,False,,,,
insurancedekho.fin.in,False,,False,False,,,,
invest.fin.in,False,,False,False,,,,
iob.fin.in,False,,False,False,,,,
ipsb.fin.in,False,,False,False,,,,
ircai.fin.in,False,,False,False,,,,
irda.fin.in,False,,False,False,,,,
jana.fin.in,False,,False,False,,,,
janakalyan.fin.in,False,,False,False,,,,
jijamatapune.fin.in,False,,False,False,,,,
jio.fin.in,False,,False,False,,,,
jiopayments.fin.in,False,,False,False,,,,
jjsbl.fin.in,False,,False,False,,,,
jkb.fin.in,False,,False,False,,,,
jkgrameen.fin.in,False,,False,False,,,,
jpc.fin.in,False,,False,False,,,,
jpmorgan.fin.in,False,,False,False,,,,
jrgbank-uat.fin.in,False,,False,False,,,,
jrgbank.fin.in,False,,False,False,,,,
jsblpune.fin.in,False,,False,False,,,,
jscbl.fin.in,False,,False,False,,,,
jskbrjn.fin.in,False,,False,False,,,,
kadi.fin.in,False,,False,False,,,,
kalupur.fin.in,False,,False,False,,,,
kalyanjanata.fin.in,False,,False,False,,,,
kalyanjanatanet.fin.in,False,,False,False,,,,
kanaradcc.fin.in,False,,False,False,,,,
karnataka.fin.in,False,,False,False,,,,
karnatakagb.fin.in,False,,False,False,,,,
karur.fin.in,False,,False,False,,,,
kbsbank.fin.in,False,,False,False,,,,
kbstar.fin.in,False,,False,False,,,,
kgb.fin.in,False,,False,False,,,,
kissht.fin.in,False,,False,False,,,,
knsbl.fin.in,False,,False,False,,,,
kotak.fin.in,False,,False,False,,,,
kotak811.fin.in,False,,False,False,,,,
kotaklife.fin.in,False,,False,False,,,,
kotakuat.fin.in,False,,False,False,,,,
ktc.fin.in,False,,False,False,,,,
kumaridccb.fin.in,False,,False,False,,,,
kurmanchalbank.fin.in,False,,False,False,,,,
kvb.fin.in,False,,False,False,,,,
kvbuat.fin.in,False,,False,False,,,,
l&t.fin.in,False,,False,False,,,,
lendingkart.fin.in,False,,False,False,,,,
lic of india.fin.in,False,,False,False,,,,
lic.fin.in,False,,False,False,,,,
loan.fin.in,False,,False,False,,,,
loantap.fin.in,False,,False,False,,,,
ltf.fin.in,False,,False,False,,,,
m&m.fin.in,False,,False,False,,,,
m&mfin.fin.in,False,,False,False,,,,
mahindra.fin.in,False,,False,False,,,,
mahindrafinance.fin.in,False,,False,False,,,,
manappuram.fin.in,False,,False,False,,,,
manipal cigna.fin.in,False,,False,False,,,,
manipalcigna.fin.in,False,,False,False,,,,
manipurrural.fin.in,False,,False,False,,,,
mashreq.fin.in,False,,False,False,,,,
maxlife.fin.in,False,,False,False,,,,
mccb.fin.in,False,,False,False,,,,
mcx.fin.in,False,,False,False,,,,
mdcc.fin.in,False,,False,False,,,,
meghalayaruralbank.fin.in,False,,False,False,,,,
meity.fin.in,False,,False,False,,,,
mobikwik.fin.in,False,,False,False,,,,
modelbank.fin.in,False,,False,False,,,,
money.fin.in,False,,False,False,,,,
moneytap.fin.in,False,,False,False,,,,
moneyview.fin.in,False,,False,False,,,,
mount.fin.in,False,,False,False,,,,
