domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
bse.npci.in,True,172.67.188.210,True,False,200,bse.npci.in - Domain For Sale,https://bse.npci.in/,
canara.npci.in,True,172.67.188.210,True,False,200,canara.npci.in - Domain For Sale,https://canara.npci.in/,
canarabank.npci.in,True,104.21.8.235,True,False,200,canarabank.npci.in - Domain For Sale,https://canarabank.npci.in/,
canarauat.npci.in,True,172.67.188.210,True,False,200,canarauat.npci.in - Domain For Sale,https://canarauat.npci.in/,
capital.npci.in,True,104.21.8.235,True,False,200,capital.npci.in - Domain For Sale,https://capital.npci.in/,
capitalsfbuat.npci.in,True,104.21.8.235,True,False,200,capitalsfbuat.npci.in - Domain For Sale,https://capitalsfbuat.npci.in/,
care health.npci.in,False,,False,False,,,,
care.npci.in,True,172.67.188.210,True,False,200,care.npci.in - Domain For Sale,https://care.npci.in/,
cashe.npci.in,True,104.21.8.235,True,False,200,cashe.npci.in - Domain For Sale,https://cashe.npci.in/,
cbdt.npci.in,True,104.21.8.235,True,False,200,cbdt.npci.in - Domain For Sale,https://cbdt.npci.in/,
cbec.npci.in,True,104.21.8.235,True,False,200,cbec.npci.in - Domain For Sale,https://cbec.npci.in/,
cbic.npci.in,True,104.21.8.235,True,False,200,cbic.npci.in - Domain For Sale,https://cbic.npci.in/,
ccb.npci.in,True,104.21.8.235,True,False,200,ccb.npci.in - Domain For Sale,https://ccb.npci.in/,
ccil.npci.in,True,172.67.188.210,True,False,200,ccil.npci.in - Domain For Sale,https://ccil.npci.in/,
cdsl.npci.in,True,104.21.8.235,True,False,200,cdsl.npci.in - Domain For Sale,https://cdsl.npci.in/,
central.npci.in,True,172.67.188.210,True,False,200,central.npci.in - Domain For Sale,https://central.npci.in/,
centralbank.npci.in,True,172.67.188.210,True,False,200,centralbank.npci.in - Domain For Sale,https://centralbank.npci.in/,
chola.npci.in,True,172.67.188.210,True,False,200,chola.npci.in - Domain For Sale,https://chola.npci.in/,
cholamandalam ms.npci.in,False,,False,False,,,,
cholamandalam.npci.in,True,104.21.8.235,True,False,200,cholamandalam.npci.in - Domain For Sale,https://cholamandalam.npci.in/,
cityunionbank.npci.in,True,172.67.188.210,True,False,200,cityunionbank.npci.in - Domain For Sale,https://cityunionbank.npci.in/,
clearing.npci.in,True,172.67.188.210,True,False,200,clearing.npci.in - Domain For Sale,https://clearing.npci.in/,
cnsblchhapi.npci.in,True,104.21.8.235,True,False,200,cnsblchhapi.npci.in - Domain For Sale,https://cnsblchhapi.npci.in/,
coastal.npci.in,True,172.67.188.210,True,False,200,coastal.npci.in - Domain For Sale,https://coastal.npci.in/,
cobmahesana.npci.in,True,104.21.8.235,True,False,200,cobmahesana.npci.in - Domain For Sale,https://cobmahesana.npci.in/,
coverfox.npci.in,True,104.21.8.235,True,False,200,coverfox.npci.in - Domain For Sale,https://coverfox.npci.in/,
cred.npci.in,True,104.21.8.235,True,False,200,cred.npci.in - Domain For Sale,https://cred.npci.in/,
crgb.npci.in,True,104.21.8.235,True,False,200,crgb.npci.in - Domain For Sale,https://crgb.npci.in/,
csb.npci.in,True,172.67.188.210,True,False,200,csb.npci.in - Domain For Sale,https://csb.npci.in/,
csbuat.npci.in,True,172.67.188.210,True,False,200,csbuat.npci.in - Domain For Sale,https://csbuat.npci.in/,
cub.npci.in,True,104.21.8.235,True,False,200,cub.npci.in - Domain For Sale,https://cub.npci.in/,
cubuat.npci.in,True,104.21.8.235,True,False,200,cubuat.npci.in - Domain For Sale,https://cubuat.npci.in/,
dbs.npci.in,True,172.67.188.210,True,False,200,dbs.npci.in - Domain For Sale,https://dbs.npci.in/,
dcb.npci.in,True,172.67.188.210,True,False,200,dcb.npci.in - Domain For Sale,https://dcb.npci.in/,
dcbuat.npci.in,True,104.21.8.235,True,False,200,dcbuat.npci.in - Domain For Sale,https://dcbuat.npci.in/,
dccbjagdalpur.npci.in,True,104.21.8.235,True,False,200,dccbjagdalpur.npci.in - Domain For Sale,https://dccbjagdalpur.npci.in/,
deutsche.npci.in,True,104.21.8.235,True,False,200,deutsche.npci.in - Domain For Sale,https://deutsche.npci.in/,
