domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
income.insurance.in,False,,False,False,,,,
incometax.insurance.in,False,,False,False,,,,
india1.insurance.in,False,,False,False,,,,
indiafirst.insurance.in,False,,False,False,,,,
indian.insurance.in,False,,False,False,,,,
indianbank.insurance.in,False,,False,False,,,,
indianbankuat.insurance.in,False,,False,False,,,,
indusind.insurance.in,False,,False,False,,,,
insurance.insurance.in,False,,False,False,,,,
insurancedekho.insurance.in,False,,False,False,,,,
invest.insurance.in,False,,False,False,,,,
iob.insurance.in,False,,False,False,,,,
ipsb.insurance.in,False,,False,False,,,,
ircai.insurance.in,False,,False,False,,,,
irda.insurance.in,False,,False,False,,,,
jana.insurance.in,False,,False,False,,,,
janakalyan.insurance.in,False,,False,False,,,,
jijamatapune.insurance.in,False,,False,False,,,,
jio.insurance.in,False,,False,False,,,,
jiopayments.insurance.in,False,,False,False,,,,
jjsbl.insurance.in,False,,False,False,,,,
jkb.insurance.in,False,,False,False,,,,
jkgrameen.insurance.in,False,,False,False,,,,
jpc.insurance.in,False,,False,False,,,,
jpmorgan.insurance.in,False,,False,False,,,,
jrgbank-uat.insurance.in,False,,False,False,,,,
jrgbank.insurance.in,False,,False,False,,,,
jsblpune.insurance.in,False,,False,False,,,,
jscbl.insurance.in,False,,False,False,,,,
jskbrjn.insurance.in,False,,False,False,,,,
kadi.insurance.in,False,,False,False,,,,
kalupur.insurance.in,False,,False,False,,,,
kalyanjanata.insurance.in,False,,False,False,,,,
kalyanjanatanet.insurance.in,False,,False,False,,,,
kanaradcc.insurance.in,False,,False,False,,,,
karnataka.insurance.in,False,,False,False,,,,
karnatakagb.insurance.in,False,,False,False,,,,
karur.insurance.in,False,,False,False,,,,
kbsbank.insurance.in,False,,False,False,,,,
kbstar.insurance.in,False,,False,False,,,,
kgb.insurance.in,False,,False,False,,,,
kissht.insurance.in,False,,False,False,,,,
knsbl.insurance.in,False,,False,False,,,,
kotak.insurance.in,False,,False,False,,,,
kotak811.insurance.in,False,,False,False,,,,
kotaklife.insurance.in,False,,False,False,,,,
kotakuat.insurance.in,False,,False,False,,,,
ktc.insurance.in,False,,False,False,,,,
kumaridccb.insurance.in,False,,False,False,,,,
kurmanchalbank.insurance.in,False,,False,False,,,,
kvb.insurance.in,False,,False,False,,,,
kvbuat.insurance.in,False,,False,False,,,,
l&t.insurance.in,False,,False,False,,,,
lendingkart.insurance.in,False,,False,False,,,,
lic of india.insurance.in,False,,False,False,,,,
lic.insurance.in,False,,False,False,,,,
loan.insurance.in,False,,False,False,,,,
loantap.insurance.in,False,,False,False,,,,
ltf.insurance.in,False,,False,False,,,,
m&m.insurance.in,False,,False,False,,,,
m&mfin.insurance.in,False,,False,False,,,,
mahindra.insurance.in,False,,False,False,,,,
mahindrafinance.insurance.in,False,,False,False,,,,
manappuram.insurance.in,False,,False,False,,,,
manipal cigna.insurance.in,False,,False,False,,,,
manipalcigna.insurance.in,False,,False,False,,,,
manipurrural.insurance.in,False,,False,False,,,,
mashreq.insurance.in,False,,False,False,,,,
maxlife.insurance.in,False,,False,False,,,,
mccb.insurance.in,False,,False,False,,,,
mcx.insurance.in,False,,False,False,,,,
mdcc.insurance.in,False,,False,False,,,,
meghalayaruralbank.insurance.in,False,,False,False,,,,
meity.insurance.in,False,,False,False,,,,
mobikwik.insurance.in,False,,False,False,,,,
modelbank.insurance.in,False,,False,False,,,,
money.insurance.in,False,,False,False,,,,
moneytap.insurance.in,False,,False,False,,,,
moneyview.insurance.in,False,,False,False,,,,
mount.insurance.in,False,,False,False,,,,
mpgb.insurance.in,False,,False,False,,,,
mpgbuat.insurance.in,False,,False,False,,,,
mrb.insurance.in,False,,False,False,,,,
mrbuat.insurance.in,False,,False,False,,,,
msc.insurance.in,False,,False,False,,,,
muthoot.insurance.in,False,,False,False,,,,
mwcb.insurance.in,False,,False,False,,,,
mysib.insurance.in,False,,False,False,,,,
national insurance.insurance.in,False,,False,False,,,,
navsarjanind.insurance.in,False,,False,False,,,,
nbfc.insurance.in,False,,False,False,,,,
ncdex.insurance.in,False,,False,False,,,,
ndsl.insurance.in,False,,False,False,,,,
neo.insurance.in,False,,False,False,,,,
new india.insurance.in,False,,False,False,,,,
newtap.insurance.in,False,,False,False,,,,
nilgirisccb.insurance.in,False,,False,False,,,,
nippon.insurance.in,False,,False,False,,,,
nira.insurance.in,False,,False,False,,,,
niva.insurance.in,False,,False,False,,,,
npci.insurance.in,False,,False,False,,,,
npcil.insurance.in,False,,False,False,,,,
