domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
indian.bank,False,,False,False,,,,DNS NXDOMAIN
indianbank.bank,False,,False,False,,,,DNS NXDOMAIN
indianbankuat.bank,False,,False,False,,,,DNS NXDOMAIN
indus.bank,False,,False,False,,,,DNS NXDOMAIN
indusind.bank,False,,False,False,,,,DNS NXDOMAIN
iob.bank,False,,False,False,,,,DNS NXDOMAIN
ipsb.bank,False,,False,False,,,,DNS NXDOMAIN
jana.bank,False,,False,False,,,,DNS NXDOMAIN
janakalyan.bank,False,,False,False,,,,DNS NXDOMAIN
jijamatapune.bank,False,,False,False,,,,DNS NXDOMAIN
jio.bank,False,,False,False,,,,DNS NXDOMAIN
jiopayments.bank,False,,False,False,,,,DNS NXDOMAIN
jjsbl.bank,False,,False,False,,,,DNS NXDOMAIN
jkb.bank,False,,False,False,,,,DNS NXDOMAIN
jkgrameen.bank,False,,False,False,,,,DNS NXDOMAIN
jpc.bank,False,,False,False,,,,DNS NXDOMAIN
jpmorgan.bank,False,,False,False,,,,DNS NXDOMAIN
jrgbank.bank,False,,False,False,,,,DNS NXDOMAIN
jrgbank-uat.bank,False,,False,False,,,,DNS NXDOMAIN
jsblpune.bank,False,,False,False,,,,DNS NXDOMAIN
jscbl.bank,False,,False,False,,,,DNS NXDOMAIN
jskbrjn.bank,False,,False,False,,,,DNS NXDOMAIN
kadi.bank,False,,False,False,,,,DNS NXDOMAIN
kalupur.bank,False,,False,False,,,,DNS NXDOMAIN
kalyanjanata.bank,False,,False,False,,,,DNS NXDOMAIN
kalyanjanatanet.bank,False,,False,False,,,,DNS NXDOMAIN
kanaradcc.bank,False,,False,False,,,,DNS NXDOMAIN
karnataka.bank,False,,False,False,,,,DNS NXDOMAIN
karnatakagb.bank,False,,False,False,,,,DNS NXDOMAIN
karur.bank,False,,False,False,,,,DNS NXDOMAIN
kbsbank.bank,False,,False,False,,,,DNS NXDOMAIN
kbstar.bank,False,,False,False,,,,DNS NXDOMAIN
kgb.bank,False,,False,False,,,,DNS NXDOMAIN
knsbl.bank,False,,False,False,,,,DNS NXDOMAIN
kotak.bank,False,,False,False,,,,DNS NXDOMAIN
kotak811.bank,False,,False,False,,,,DNS NXDOMAIN
kotaklife.bank,False,,False,False,,,,DNS NXDOMAIN
kotakuat.bank,False,,False,False,,,,DNS NXDOMAIN
ktc.bank,False,,False,False,,,,DNS NXDOMAIN
kumaridccb.bank,False,,False,False,,,,DNS NXDOMAIN
kurmanchalbank.bank,False,,False,False,,,,DNS NXDOMAIN
kvb.bank,False,,False,False,,,,DNS NXDOMAIN
kvbuat.bank,False,,False,False,,,,DNS NXDOMAIN
manipurrural.bank,False,,False,False,,,,DNS NXDOMAIN
mashreq.bank,False,,False,False,,,,DNS NXDOMAIN
maxlife.bank,False,,False,False,,,,DNS NXDOMAIN
mccb.bank,False,,False,False,,,,DNS NXDOMAIN
mdcc.bank,False,,False,False,,,,DNS NXDOMAIN
meghalayaruralbank.bank,False,,False,False,,,,DNS NXDOMAIN
mizuho.bank,False,,False,False,,,,DNS NXDOMAIN
modelbank.bank,False,,False,False,,,,DNS NXDOMAIN
mount.bank,False,,False,False,,,,DNS NXDOMAIN
mpgb.bank,False,,False,False,,,,DNS NXDOMAIN
mpgbuat.bank,False,,False,False,,,,DNS NXDOMAIN
mrb.bank,False,,False,False,,,,DNS NXDOMAIN
mrbuat.bank,False,,False,False,,,,DNS NXDOMAIN
msc.bank,False,,False,False,,,,DNS NXDOMAIN
mufg.bank,False,,False,False,,,,DNS NXDOMAIN
mwcb.bank,False,,False,False,,,,DNS NXDOMAIN
mysib.bank,False,,False,False,,,,DNS NXDOMAIN
navsarjanind.bank,False,,False,False,,,,DNS NXDOMAIN
nilgirisccb.bank,False,,False,False,,,,DNS NXDOMAIN
nippon.bank,False,,False,False,,,,DNS NXDOMAIN
nutan.bank,False,,False,False,,,,DNS NXDOMAIN
odishabank.bank,False,,False,False,,,,DNS NXDOMAIN
odishascb.bank,False,,False,False,,,,DNS NXDOMAIN
palusbank.bank,False,,False,False,,,,DNS NXDOMAIN
pavanabank.bank,False,,False,False,,,,DNS NXDOMAIN
paytm.bank,False,,False,False,,,,DNS NXDOMAIN
pccbank.bank,False,,False,False,,,,DNS NXDOMAIN
pdc.bank,False,,False,False,,,,DNS NXDOMAIN
pgb.bank,True,104.21.58.152,True,False,200,Parked Page for pgb.bank,https://pgb.bank/,
pgbuat.bank,False,,False,False,,,,DNS NXDOMAIN
pnb.bank,False,,False,False,,,,DNS NXDOMAIN
pnbuat.bank,False,,False,False,,,,DNS NXDOMAIN
poornawadi-uat.bank,False,,False,False,,,,DNS NXDOMAIN
prime.bank,True,104.20.41.228,True,False,200,"PrimeBank of Texas | Business &amp; Personal Banking | Austin, Carrizo Springs, Crystal City",https://www.prime.bank/,
psb.bank,False,,False,False,,,,DNS NXDOMAIN
punjabandsind.bank,False,,False,False,,,,DNS NXDOMAIN
pytm.bank,False,,False,False,,,,DNS NXDOMAIN
qnb.bank,False,,False,False,,,,DNS NXDOMAIN
rabobank.bank,False,,False,False,,,,DNS NXDOMAIN
rajgurunagar.bank,False,,False,False,,,,DNS NXDOMAIN
rajkotdccb.bank,False,,False,False,,,,DNS NXDOMAIN
rbl.bank,False,,False,False,,,,DNS NXDOMAIN
rgb.bank,False,,False,False,,,,DNS NXDOMAIN
rgbuat.bank,False,,False,False,,,,DNS NXDOMAIN
rrbpuduvai.bank,False,,False,False,,,,DNS NXDOMAIN
saraswat.bank,False,,False,False,,,,DNS NXDOMAIN
sardar.bank,False,,False,False,,,,DNS NXDOMAIN
sarvodaya.bank,False,,False,False,,,,DNS NXDOMAIN
saurashtra.bank,False,,False,False,,,,DNS NXDOMAIN
sbi.bank,True,104.20.36.192,True,False,200,HOME - Sovereign Bank International Inc.,https://sbi.bank/,
sbilife.bank,False,,False,False,,,,DNS NXDOMAIN
sbiuat.bank,False,,False,False,,,,DNS NXDOMAIN
sbm.bank,True,104.20.22.200,True,False,503,,https://sbm.bank/,
sc.bank,False,,False,False,,,,DNS NXDOMAIN
