domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
idbi.nbfc.in,False,,False,False,,,,
idfc.nbfc.in,False,,False,False,,,,
idfcfirst.nbfc.in,False,,False,False,,,,
idfcfsb.nbfc.in,False,,False,False,,,,
iffco tokyo.nbfc.in,False,,False,False,,,,
iffco.nbfc.in,False,,False,False,,,,
income.nbfc.in,False,,False,False,,,,
incometax.nbfc.in,False,,False,False,,,,
india1.nbfc.in,False,,False,False,,,,
indiafirst.nbfc.in,False,,False,False,,,,
indian.nbfc.in,False,,False,False,,,,
indianbank.nbfc.in,False,,False,False,,,,
indianbankuat.nbfc.in,False,,False,False,,,,
indusind.nbfc.in,False,,False,False,,,,
insurance.nbfc.in,False,,False,False,,,,
insurancedekho.nbfc.in,False,,False,False,,,,
invest.nbfc.in,False,,False,False,,,,
iob.nbfc.in,False,,False,False,,,,
ipsb.nbfc.in,False,,False,False,,,,
ircai.nbfc.in,False,,False,False,,,,
irda.nbfc.in,False,,False,False,,,,
jana.nbfc.in,False,,False,False,,,,
janakalyan.nbfc.in,False,,False,False,,,,
jijamatapune.nbfc.in,False,,False,False,,,,
jio.nbfc.in,False,,False,False,,,,
jiopayments.nbfc.in,False,,False,False,,,,
jjsbl.nbfc.in,False,,False,False,,,,
jkb.nbfc.in,False,,False,False,,,,
jkgrameen.nbfc.in,False,,False,False,,,,
jpc.nbfc.in,False,,False,False,,,,
jpmorgan.nbfc.in,False,,False,False,,,,
jrgbank-uat.nbfc.in,False,,False,False,,,,
jrgbank.nbfc.in,False,,False,False,,,,
jsblpune.nbfc.in,False,,False,False,,,,
jscbl.nbfc.in,False,,False,False,,,,
jskbrjn.nbfc.in,False,,False,False,,,,
kadi.nbfc.in,False,,False,False,,,,
kalupur.nbfc.in,False,,False,False,,,,
kalyanjanata.nbfc.in,False,,False,False,,,,
kalyanjanatanet.nbfc.in,False,,False,False,,,,
kanaradcc.nbfc.in,False,,False,False,,,,
karnataka.nbfc.in,True,142.251.41.179,False,True,404,,http://karnataka.nbfc.in/,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)>
karnatakagb.nbfc.in,False,,False,False,,,,
karur.nbfc.in,False,,False,False,,,,
kbsbank.nbfc.in,False,,False,False,,,,
kbstar.nbfc.in,False,,False,False,,,,
kgb.nbfc.in,False,,False,False,,,,
kissht.nbfc.in,False,,False,False,,,,
knsbl.nbfc.in,False,,False,False,,,,
kotak.nbfc.in,False,,False,False,,,,
kotak811.nbfc.in,False,,False,False,,,,
kotaklife.nbfc.in,False,,False,False,,,,
kotakuat.nbfc.in,False,,False,False,,,,
ktc.nbfc.in,False,,False,False,,,,
kumaridccb.nbfc.in,False,,False,False,,,,
kurmanchalbank.nbfc.in,False,,False,False,,,,
kvb.nbfc.in,False,,False,False,,,,
kvbuat.nbfc.in,False,,False,False,,,,
l&t.nbfc.in,False,,False,False,,,,
lendingkart.nbfc.in,False,,False,False,,,,
lic of india.nbfc.in,False,,False,False,,,,
lic.nbfc.in,False,,False,False,,,,
loan.nbfc.in,False,,False,False,,,,
loantap.nbfc.in,False,,False,False,,,,
ltf.nbfc.in,False,,False,False,,,,
m&m.nbfc.in,False,,False,False,,,,
m&mfin.nbfc.in,False,,False,False,,,,
mahindra.nbfc.in,False,,False,False,,,,
mahindrafinance.nbfc.in,False,,False,False,,,,
manappuram.nbfc.in,False,,False,False,,,,
manipal cigna.nbfc.in,False,,False,False,,,,
manipalcigna.nbfc.in,False,,False,False,,,,
manipurrural.nbfc.in,False,,False,False,,,,
mashreq.nbfc.in,False,,False,False,,,,
maxlife.nbfc.in,False,,False,False,,,,
mccb.nbfc.in,False,,False,False,,,,
mcx.nbfc.in,False,,False,False,,,,
mdcc.nbfc.in,False,,False,False,,,,
meghalayaruralbank.nbfc.in,False,,False,False,,,,
meity.nbfc.in,False,,False,False,,,,
mobikwik.nbfc.in,False,,False,False,,,,
modelbank.nbfc.in,False,,False,False,,,,
money.nbfc.in,False,,False,False,,,,
moneytap.nbfc.in,False,,False,False,,,,
moneyview.nbfc.in,False,,False,False,,,,
mount.nbfc.in,False,,False,False,,,,
mpgb.nbfc.in,False,,False,False,,,,
mpgbuat.nbfc.in,False,,False,False,,,,
mrb.nbfc.in,False,,False,False,,,,
mrbuat.nbfc.in,False,,False,False,,,,
msc.nbfc.in,False,,False,False,,,,
muthoot.nbfc.in,False,,False,False,,,,
mwcb.nbfc.in,False,,False,False,,,,
mysib.nbfc.in,False,,False,False,,,,
national insurance.nbfc.in,False,,False,False,,,,
navsarjanind.nbfc.in,False,,False,False,,,,
nbfc.nbfc.in,False,,False,False,,,,
ncdex.nbfc.in,False,,False,False,,,,
ndsl.nbfc.in,False,,False,False,,,,
neo.nbfc.in,False,,False,False,,,,
new india.nbfc.in,False,,False,False,,,,
newtap.nbfc.in,False,,False,False,,,,
nilgirisccb.nbfc.in,False,,False,False,,,,
nippon.nbfc.in,False,,False,False,,,,
nira.nbfc.in,False,,False,False,,,,
niva.nbfc.in,False,,False,False,,,,
npci.nbfc.in,False,,False,False,,,,
npcil.nbfc.in,False,,False,False,,,,
nsdl.nbfc.in,False,,False,False,,,,
nse.nbfc.in,False,,False,False,,,,
nutan.nbfc.in,False,,False,False,,,,
odishabank.nbfc.in,False,,False,False,,,,
odishascb.nbfc.in,False,,False,False,,,,
ola.nbfc.in,False,,False,False,,,,
olamoney.nbfc.in,False,,False,False,,,,
onp.nbfc.in,False,,False,False,,,,
oriental insurance.nbfc.in,False,,False,False,,,,
palusbank.nbfc.in,False,,False,False,,,,
pavanabank.nbfc.in,False,,False,False,,,,
paysense.nbfc.in,False,,False,False,,,,
paytm.nbfc.in,False,,False,False,,,,
pbfintech.nbfc.in,False,,False,False,,,,
pccbank.nbfc.in,False,,False,False,,,,
pdc.nbfc.in,False,,False,False,,,,
pfrda.nbfc.in,False,,False,False,,,,
pgb.nbfc.in,False,,False,False,,,,
pgbuat.nbfc.in,False,,False,False,,,,
phonepe.nbfc.in,False,,False,False,,,,
piramal.nbfc.in,False,,False,False,,,,
pnb.nbfc.in,False,,False,False,,,,
pnbuat.nbfc.in,False,,False,False,,,,
policybazaar.nbfc.in,False,,False,False,,,,
poornawadi-uat.nbfc.in,False,,False,False,,,,
prime.nbfc.in,False,,False,False,,,,
psb.nbfc.in,False,,False,False,,,,
punjabandsind.nbfc.in,False,,False,False,,,,
pytm.nbfc.in,False,,False,False,,,,
qnb.nbfc.in,False,,False,False,,,,
rajgurunagar.nbfc.in,False,,False,False,,,,
rajkotdccb.nbfc.in,False,,False,False,,,,
rapido.nbfc.in,False,,False,False,,,,
rbi.nbfc.in,False,,False,False,,,,
rbl.nbfc.in,False,,False,False,,,,
rebit.nbfc.in,False,,False,False,,,,
reliance nippon.nbfc.in,False,,False,False,,,,
reliance.nbfc.in,False,,False,False,,,,
rgb.nbfc.in,False,,False,False,,,,
rgbuat.nbfc.in,False,,False,False,,,,
rrbpuduvai.nbfc.in,False,,False,False,,,,
saraswat.nbfc.in,False,,False,False,,,,
sardar.nbfc.in,False,,False,False,,,,
sarvodaya.nbfc.in,False,,False,False,,,,
saurashtra.nbfc.in,False,,False,False,,,,
sbi cards.nbfc.in,False,,False,False,,,,
sbi.nbfc.in,False,,False,False,,,,
sbicap.nbfc.in,False,,False,False,,,,
sbilife.nbfc.in,False,,False,False,,,,
sbipension.nbfc.in,False,,False,False,,,,
sbiuat.nbfc.in,False,,False,False,,,,
sbm.nbfc.in,False,,False,False,,,,
sc.nbfc.in,False,,False,False,,,,
scc.nbfc.in,False,,False,False,,,,
sebi.nbfc.in,False,,False,False,,,,
sevenhills.nbfc.in,False,,False,False,,,,
sgmcbl.nbfc.in,False,,False,False,,,,
shahubankpune.nbfc.in,False,,False,False,,,,
shgb.nbfc.in,False,,False,False,,,,
shgbuat.nbfc.in,False,,False,False,,,,
shriram.nbfc.in,False,,False,False,,,,
shriveershaiv.nbfc.in,False,,False,False,,,,
sib.nbfc.in,False,,False,False,,,,
sibuat.nbfc.in,False,,False,False,,,,
skdccb.nbfc.in,False,,False,False,,,,
skfin.nbfc.in,False,,False,False,,,,
smriti.nbfc.in,False,,False,False,,,,
southindianbank.nbfc.in,False,,False,False,,,,
star health.nbfc.in,False,,False,False,,,,
starhealth.nbfc.in,False,,False,False,,,,
sudico.nbfc.in,False,,False,False,,,,
sumco.nbfc.in,False,,False,False,,,,
suryoday.nbfc.in,False,,False,False,,,,
svatantra.nbfc.in,False,,False,False,,,,
svc.nbfc.in,False,,False,False,,,,
svcuat.nbfc.in,False,,False,False,,,,
tamilnadugrama.nbfc.in,False,,False,False,,,,
tata aia.nbfc.in,False,,False,False,,,,
tata.nbfc.in,False,,False,False,,,,
tataaia.nbfc.in,False,,False,False,,,,
tbsbl.nbfc.in,False,,False,False,,,,
tcbrl.nbfc.in,False,,False,False,,,,
tgb.nbfc.in,False,,False,False,,,,
tgbuat.nbfc.in,False,,False,False,,,,
tgcab.nbfc.in,False,,False,False,,,,
tgcabuat.nbfc.in,False,,False,False,,,,
tgucb.nbfc.in,False,,False,False,,,,
theadc.nbfc.in,False,,False,False,,,,
thejjs.nbfc.in,False,,False,False,,,,
thekachchhdccb.nbfc.in,False,,False,False,,,,
tirunelveliccb.nbfc.in,False,,False,False,,,,
tjsb.nbfc.in,False,,False,False,,,,
tjsbuat.nbfc.in,False,,False,False,,,,
tmb.nbfc.in,False,,False,False,,,,
tmbdigital-uat.nbfc.in,False,,False,False,,,,
tnsc.nbfc.in,False,,False,False,,,,
tripuragramin.nbfc.in,False,,False,False,,,,
tscb.nbfc.in,False,,False,False,,,,
uat-paytm.nbfc.in,False,,False,False,,,,
uatutkarsh.nbfc.in,False,,False,False,,,,
ubi.nbfc.in,False,,False,False,,,,
uco.nbfc.in,False,,False,False,,,,
ucoonline.nbfc.in,False,,False,False,,,,
ucouat.nbfc.in,False,,False,False,,,,
uidai.nbfc.in,False,,False,False,,,,
ujjivan.nbfc.in,False,,False,False,,,,
ujjivansfb.nbfc.in,False,,False,False,,,,
ukgb.nbfc.in,False,,False,False,,,,
union.nbfc.in,False,,False,False,,,,
unionbankdigital.nbfc.in,False,,False,False,,,,
unionbankofindia.nbfc.in,False,,False,False,,,,
unionbankonline.nbfc.in,False,,False,False,,,,
unionbankportal.nbfc.in,False,,False,False,,,,
united india.nbfc.in,False,,False,False,,,,
universal.nbfc.in,False,,False,False,,,,
upgb.nbfc.in,False,,False,False,,,,
utkarsh.nbfc.in,False,,False,False,,,,
varachha.nbfc.in,False,,False,False,,,,
vcbl.nbfc.in,False,,False,False,,,,
vcnb.nbfc.in,False,,False,False,,,,
vdcuat.nbfc.in,False,,False,False,,,,
vijaycooperative.nbfc.in,False,,False,False,,,,
vikas.nbfc.in,False,,False,False,,,,
vishweshwar.nbfc.in,False,,False,False,,,,
vjsbl.nbfc.in,False,,False,False,,,,
vpmccb.nbfc.in,False,,False,False,,,,
wbgb.nbfc.in,False,,False,False,,,,
wealth.nbfc.in,False,,False,False,,,,
yes.nbfc.in,False,,False,False,,,,
yesuat.nbfc.in,False,,False,False,,,,
zest.nbfc.in,False,,False,False,,,,
